linkId,playId,playTitle,sortOrder,relationType,weight,abilityCode,domain,category,abilityName,reason
WPL-000001,WP-001,1000円で行ける場所で遊ぶ,1,PRIMARY,3,3104002,環境,数量や図形、標識や文字などへの関心・感覚,数量や図形を遊びや生活で活用する力,予算、分量、数、時間などを生活の中で使う経験になるため。
WPL-000002,WP-001,1000円で行ける場所で遊ぶ,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,必要な情報を探し、比べ、活動に生かす経験になるため。
WPL-000003,WP-001,1000円で行ける場所で遊ぶ,3,RELATED,2,1101003,健康,健康な心と体,見通しをもった計画的な遊び,手順や予定を考えながら進めることで、見通しをもった活動につながるため。
WPL-000004,WP-001,1000円で行ける場所で遊ぶ,4,RELATED,1,3101005,環境,社会生活との関わり,社会とのつながりの意識,仕事、地域、社会の仕組みに関心をもつきっかけになるため。
WPL-000005,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を伸ばす・動かす・心地よさを味わう体験になりやすいため。
WPL-000006,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,2,RELATED,2,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,清潔・休息・安全な体の使い方など、生活習慣への関心につながるため。
WPL-000007,WP-002,いつもと雰囲気を変えてお風呂を楽しむ,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ時間として安心感や親しみを感じやすいため。
WPL-000008,WP-003,いつもの電車の終点訪問,1,PRIMARY,3,3101001,環境,社会生活との関わり,さまざまな環境への主体的関わり,普段と異なる環境に自分から関わる経験になるため。
WPL-000009,WP-003,いつもの電車の終点訪問,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,行き先・交通・店・表示など、必要な情報を集めて活用する体験になるため。
WPL-000010,WP-003,いつもの電車の終点訪問,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,見たこと・考えたことを家族に伝える機会が多いため。
WPL-000011,WP-003,いつもの電車の終点訪問,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の人や社会の場との触れ合いにつながるため。
WPL-000012,WP-004,おしゃべり続ける競争,1,PRIMARY,3,4102006,言葉,言葉による伝え合い,言葉による伝え合いの楽しみ,家族と会話し、言葉でやりとりする楽しさを味わえるため。
WPL-000013,WP-004,おしゃべり続ける競争,2,RELATED,2,4102003,言葉,言葉による伝え合い,豊かな語彙と表現の習得,言葉の種類や言い方を増やし、表現を楽しむ経験になるため。
WPL-000014,WP-004,おしゃべり続ける競争,3,RELATED,2,4102005,言葉,言葉による伝え合い,相手の話を注意深く聴く力,相手の話を最後まで聞き、理解しようとする経験になるため。
WPL-000015,WP-004,おしゃべり続ける競争,4,RELATED,1,2103006,人間関係,道徳性・規範意識の芽生え,ルールの創出と遵守,ルールを作ったり守ったりしながら遊ぶ経験になるため。
WPL-000016,WP-005,おにぎりを作って公園で食べる,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を動かしたり屋外で過ごしたりする中で、心身をのびのび使う経験になるため。
WPL-000017,WP-005,おにぎりを作って公園で食べる,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花、風、水、季節など身近な自然に触れる経験になるため。
WPL-000018,WP-005,おにぎりを作って公園で食べる,3,RELATED,2,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料や道具の変化、仕組みに気付く経験になるため。
WPL-000019,WP-005,おにぎりを作って公園で食べる,4,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族で一緒に過ごし、互いを大切に感じる経験になりやすいため。
WPL-000020,WP-006,おにぎりバイキング,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料が変化する様子や道具の仕組みに気付きやすいため。
WPL-000021,WP-006,おにぎりバイキング,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,順番・分量・焼き加減などを予測し工夫する体験になるため。
WPL-000022,WP-006,おにぎりバイキング,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,役割を分け、家族と協力して進める経験になるため。
WPL-000023,WP-006,おにぎりバイキング,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,食事・衛生・安全な調理への関心につながるため。
WPL-000024,WP-007,お化けやしきごっこ,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000025,WP-007,お化けやしきごっこ,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000026,WP-007,お化けやしきごっこ,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
WPL-000027,WP-007,お化けやしきごっこ,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,準備や役割分担を協力して進める経験になるため。
WPL-000028,WP-008,お家でのかくれんぼ,1,PRIMARY,3,2103006,人間関係,道徳性・規範意識の芽生え,ルールの創出と遵守,ルールを理解し、守ったり工夫したりする遊びになるため。
WPL-000029,WP-008,お家でのかくれんぼ,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,どこに隠れるか、どう探すかを予測し考える経験になるため。
WPL-000030,WP-008,お家でのかくれんぼ,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,家族と順番や役割を意識して遊ぶ経験になるため。
WPL-000031,WP-008,お家でのかくれんぼ,4,RELATED,1,1101001,健康,健康な心と体,主体的・充実感ある遊び,主体的に遊びに参加し、充実感を得やすいため。
WPL-000032,WP-009,お家でハワイごっこ,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000033,WP-009,お家でハワイごっこ,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000034,WP-009,お家でハワイごっこ,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
WPL-000035,WP-009,お家でハワイごっこ,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,準備や役割分担を協力して進める経験になるため。
WPL-000036,WP-010,お庭でバーベキュー,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,屋外で体を動かし、開放感の中で遊びを楽しみやすいため。
WPL-000037,WP-010,お庭でバーベキュー,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花・風・空・地面など、身近な自然に触れる機会になるため。
WPL-000038,WP-010,お庭でバーベキュー,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ経験として、親しみや安心感につながるため。
WPL-000039,WP-011,お散歩,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,屋外で体を動かし、開放感の中で遊びを楽しみやすいため。
WPL-000040,WP-011,お散歩,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花・風・空・地面など、身近な自然に触れる機会になるため。
WPL-000041,WP-011,お散歩,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ経験として、親しみや安心感につながるため。
WPL-000042,WP-012,お菓子づくり,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料が変化する様子や道具の仕組みに気付きやすいため。
WPL-000043,WP-012,お菓子づくり,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,順番・分量・焼き加減などを予測し工夫する体験になるため。
WPL-000044,WP-012,お菓子づくり,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,役割を分け、家族と協力して進める経験になるため。
WPL-000045,WP-012,お菓子づくり,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,食事・衛生・安全な調理への関心につながるため。
WPL-000046,WP-013,かるた選手権,1,PRIMARY,3,4101003,言葉,数量や図形、標識や文字などへの関心・感覚,文字や記号を用いた表現・伝達,文字や記号を使って気持ちや内容を伝える経験になるため。
WPL-000047,WP-013,かるた選手権,2,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,経験や思いを言葉で表現する機会になるため。
WPL-000048,WP-013,かるた選手権,3,RELATED,2,4102005,言葉,言葉による伝え合い,相手の話を注意深く聴く力,相手の言葉や読み札を注意して聞く姿につながるため。
WPL-000049,WP-013,かるた選手権,4,RELATED,1,5101003,表現,豊かな感性と表現,自己で表現することの実践,絵や文章で自分なりに表現する経験になるため。
WPL-000050,WP-014,たまった動画をみんなで編集して上映する,1,PRIMARY,3,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,素材、音、色、形、表し方の違いに気付く経験になるため。
WPL-000051,WP-014,たまった動画をみんなで編集して上映する,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族で一緒に表現を作り、見せ合う経験になるため。
WPL-000052,WP-014,たまった動画をみんなで編集して上映する,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,経験や考えを自分の言葉で伝える経験になるため。
WPL-000053,WP-014,たまった動画をみんなで編集して上映する,4,RELATED,1,3101002,環境,社会生活との関わり,必要な情報の収集と活用,必要な情報を探し、比べ、活動に生かす経験になるため。
WPL-000054,WP-015,どこへ行くかわからないミステリーツアー,1,PRIMARY,3,3101001,環境,社会生活との関わり,さまざまな環境への主体的関わり,普段と異なる環境に自分から関わる経験になるため。
WPL-000055,WP-015,どこへ行くかわからないミステリーツアー,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,行き先・交通・店・表示など、必要な情報を集めて活用する体験になるため。
WPL-000056,WP-015,どこへ行くかわからないミステリーツアー,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,見たこと・考えたことを家族に伝える機会が多いため。
WPL-000057,WP-015,どこへ行くかわからないミステリーツアー,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の人や社会の場との触れ合いにつながるため。
WPL-000058,WP-016,のり鉄途中下車の旅,1,PRIMARY,3,3101001,環境,社会生活との関わり,さまざまな環境への主体的関わり,普段と異なる環境に自分から関わる経験になるため。
WPL-000059,WP-016,のり鉄途中下車の旅,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,行き先・交通・店・表示など、必要な情報を集めて活用する体験になるため。
WPL-000060,WP-016,のり鉄途中下車の旅,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,見たこと・考えたことを家族に伝える機会が多いため。
WPL-000061,WP-016,のり鉄途中下車の旅,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の人や社会の場との触れ合いにつながるため。
WPL-000062,WP-017,みんなでサイクリング,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を動かしたり屋外で過ごしたりする中で、心身をのびのび使う経験になるため。
WPL-000063,WP-017,みんなでサイクリング,2,RELATED,2,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,生活リズムや安全、健康を意識するきっかけになりやすいため。
WPL-000064,WP-017,みんなでサイクリング,3,RELATED,1,3104004,環境,数量や図形、標識や文字などへの関心・感覚,標識を手掛かりに行動する力,地図や目印、標識を手がかりに行動する経験になるため。
WPL-000065,WP-017,みんなでサイクリング,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,家族で役割を分けたり助け合ったりして進める経験になるため。
WPL-000066,WP-018,みんなでサンドイッチづくり,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料が変化する様子や道具の仕組みに気付きやすいため。
WPL-000067,WP-018,みんなでサンドイッチづくり,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,順番・分量・焼き加減などを予測し工夫する体験になるため。
WPL-000068,WP-018,みんなでサンドイッチづくり,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,役割を分け、家族と協力して進める経験になるため。
WPL-000069,WP-018,みんなでサンドイッチづくり,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,食事・衛生・安全な調理への関心につながるため。
WPL-000070,WP-019,みんなでショッピング,1,PRIMARY,3,3101001,環境,社会生活との関わり,さまざまな環境への主体的関わり,普段と異なる環境に自分から関わる経験になるため。
WPL-000071,WP-019,みんなでショッピング,2,RELATED,2,3101002,環境,社会生活との関わり,必要な情報の収集と活用,行き先・交通・店・表示など、必要な情報を集めて活用する体験になるため。
WPL-000072,WP-019,みんなでショッピング,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,見たこと・考えたことを家族に伝える機会が多いため。
WPL-000073,WP-019,みんなでショッピング,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の人や社会の場との触れ合いにつながるため。
WPL-000074,WP-020,みんなでジグソーパズル,1,PRIMARY,3,3102003,環境,思考力の芽生え,思考・予測・工夫する力,どう作るか、どう飛ばすか、どう組み合わせるかを考え工夫するため。
WPL-000075,WP-020,みんなでジグソーパズル,2,RELATED,2,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,素材や形・道具の扱い方への気付きが生まれやすいため。
WPL-000076,WP-020,みんなでジグソーパズル,3,RELATED,2,2101004,人間関係,自立心,諦めずにやり遂げる力,うまくいかなくても試し直し、やり遂げる経験につながるため。
WPL-000077,WP-020,みんなでジグソーパズル,4,RELATED,1,5101005,表現,豊かな感性と表現,表現の喜びと達成感,完成したものを見て達成感や表現の喜びを味わえるため。
WPL-000078,WP-021,みんなでファッションショー,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000079,WP-021,みんなでファッションショー,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000080,WP-021,みんなでファッションショー,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
WPL-000081,WP-021,みんなでファッションショー,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,準備や役割分担を協力して進める経験になるため。
WPL-000082,WP-022,みんなで一緒に家事をやる,1,PRIMARY,3,2104005,人間関係,社会生活との関わり,役立つ喜びと地域への親しみ,家族や地域の中で役に立つ喜びを感じやすいため。
WPL-000083,WP-022,みんなで一緒に家事をやる,2,RELATED,2,2102004,人間関係,協同性,協力して行動する力,家族で役割を分けたり助け合ったりして進める経験になるため。
WPL-000084,WP-022,みんなで一緒に家事をやる,3,RELATED,2,2101002,人間関係,自立心,しなければならないことの自覚,自分の役割や守ることを意識して行動する経験になるため。
WPL-000085,WP-022,みんなで一緒に家事をやる,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,生活リズムや安全、健康を意識するきっかけになりやすいため。
WPL-000086,WP-023,みんなで写真の整理,1,PRIMARY,3,5101001,表現,豊かな感性と表現,感動を体験して感性を働かせる,見たり振り返ったりする中で感動や気付きが生まれやすいため。
WPL-000087,WP-023,みんなで写真の整理,2,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,感じたことや思い出を言葉にして伝える体験になるため。
WPL-000088,WP-023,みんなで写真の整理,3,RELATED,2,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族の思い出やつながりを大切にする気持ちにつながるため。
WPL-000089,WP-023,みんなで写真の整理,4,RELATED,1,5101003,表現,豊かな感性と表現,自己で表現することの実践,写真の選び方や見せ方を工夫して表現できるため。
WPL-000090,WP-024,みんなで合唱の練習,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,体・声・衣装・動きなどで自分なりに表現する経験になるため。
WPL-000091,WP-024,みんなで合唱の練習,2,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族と一緒に演じたり合わせたりする表現を楽しめるため。
WPL-000092,WP-024,みんなで合唱の練習,3,RELATED,2,5101005,表現,豊かな感性と表現,表現の喜びと達成感,見てもらう・やり切ることで表現の喜びと達成感につながるため。
WPL-000093,WP-024,みんなで合唱の練習,4,RELATED,1,2102004,人間関係,協同性,協力して行動する力,準備や役割分担を協力して進める経験になるため。
WPL-000094,WP-025,みんなで図書館に行く,1,PRIMARY,3,4102002,言葉,言葉による伝え合い,絵本や物語への親しみ,物語や本に親しみ、イメージを広げる経験になるため。
WPL-000095,WP-025,みんなで図書館に行く,2,RELATED,2,3101004,環境,社会生活との関わり,公共施設を大切に利用する姿勢,公共の場を利用し、マナーや大切に扱う気持ちにつながるため。
WPL-000096,WP-025,みんなで図書館に行く,3,RELATED,2,4101005,言葉,数量や図形、標識や文字などへの関心・感覚,文字や記号への興味・感覚の形成,本、表示、文字、記号への関心を広げる経験になるため。
WPL-000097,WP-025,みんなで図書館に行く,4,RELATED,1,2104002,人間関係,社会生活との関わり,地域の人々との触れ合い,地域の場や人との関わりを自然に体験できるため。
WPL-000098,WP-026,みんなで大工ごっこ,1,PRIMARY,3,3102003,環境,思考力の芽生え,思考・予測・工夫する力,どう作るか、どう飛ばすか、どう組み合わせるかを考え工夫するため。
WPL-000099,WP-026,みんなで大工ごっこ,2,RELATED,2,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,素材や形・道具の扱い方への気付きが生まれやすいため。
WPL-000100,WP-026,みんなで大工ごっこ,3,RELATED,2,2101004,人間関係,自立心,諦めずにやり遂げる力,うまくいかなくても試し直し、やり遂げる経験につながるため。
WPL-000101,WP-026,みんなで大工ごっこ,4,RELATED,1,5101005,表現,豊かな感性と表現,表現の喜びと達成感,完成したものを見て達成感や表現の喜びを味わえるため。
WPL-000102,WP-027,みんなで家族のマンガを描く,1,PRIMARY,3,5101003,表現,豊かな感性と表現,自己で表現することの実践,感じたことや考えたことを自分なりに表す経験になるため。
WPL-000103,WP-027,みんなで家族のマンガを描く,2,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,経験や考えを自分の言葉で伝える経験になるため。
WPL-000104,WP-027,みんなで家族のマンガを描く,3,RELATED,2,5101004,表現,豊かな感性と表現,協同表現の楽しみ,家族で一緒に表現を作り、見せ合う経験になるため。
WPL-000105,WP-027,みんなで家族のマンガを描く,4,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族で一緒に過ごし、互いを大切に感じる経験になりやすいため。
WPL-000106,WP-028,みんなで料理を作る,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料が変化する様子や道具の仕組みに気付きやすいため。
WPL-000107,WP-028,みんなで料理を作る,2,RELATED,2,3102003,環境,思考力の芽生え,思考・予測・工夫する力,順番・分量・焼き加減などを予測し工夫する体験になるため。
WPL-000108,WP-028,みんなで料理を作る,3,RELATED,2,2102004,人間関係,協同性,協力して行動する力,役割を分け、家族と協力して進める経験になるため。
WPL-000109,WP-028,みんなで料理を作る,4,RELATED,1,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,食事・衛生・安全な調理への関心につながるため。
WPL-000110,WP-029,みんなで映画鑑賞,1,PRIMARY,3,5101001,表現,豊かな感性と表現,感動を体験して感性を働かせる,見たり振り返ったりする中で感動や気付きが生まれやすいため。
WPL-000111,WP-029,みんなで映画鑑賞,2,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,感じたことや思い出を言葉にして伝える体験になるため。
WPL-000112,WP-029,みんなで映画鑑賞,3,RELATED,2,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族の思い出やつながりを大切にする気持ちにつながるため。
WPL-000113,WP-029,みんなで映画鑑賞,4,RELATED,1,5101003,表現,豊かな感性と表現,自己で表現することの実践,写真の選び方や見せ方を工夫して表現できるため。
WPL-000114,WP-030,みんなで柔軟体操,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を伸ばす・動かす・心地よさを味わう体験になりやすいため。
WPL-000115,WP-030,みんなで柔軟体操,2,RELATED,2,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,清潔・休息・安全な体の使い方など、生活習慣への関心につながるため。
WPL-000116,WP-030,みんなで柔軟体操,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ時間として安心感や親しみを感じやすいため。
WPL-000117,WP-031,みんなで絵を描いて鑑賞会,1,PRIMARY,3,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,画材・構図・撮影方法など、表現方法への気付きが生まれるため。
WPL-000118,WP-031,みんなで絵を描いて鑑賞会,2,RELATED,2,5101003,表現,豊かな感性と表現,自己で表現することの実践,感じたことを絵や映像で表す経験になるため。
WPL-000119,WP-031,みんなで絵を描いて鑑賞会,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,何を表したかを言葉で説明する機会になるため。
WPL-000120,WP-031,みんなで絵を描いて鑑賞会,4,RELATED,1,5101005,表現,豊かな感性と表現,表現の喜びと達成感,作品を見合い、達成感を味わえるため。
WPL-000121,WP-032,みんなで美術館に行く,1,PRIMARY,3,5101001,表現,豊かな感性と表現,感動を体験して感性を働かせる,美しさや面白さに心を動かす経験になるため。
WPL-000122,WP-032,みんなで美術館に行く,2,RELATED,2,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,素材、音、色、形、表し方の違いに気付く経験になるため。
WPL-000123,WP-032,みんなで美術館に行く,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,経験や考えを自分の言葉で伝える経験になるため。
WPL-000124,WP-032,みんなで美術館に行く,4,RELATED,1,3101004,環境,社会生活との関わり,公共施設を大切に利用する姿勢,公共の場を利用し、マナーや大切に扱う気持ちにつながるため。
WPL-000125,WP-033,みんなで遠足ごっこ,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,屋外で体を動かし、開放感の中で遊びを楽しみやすいため。
WPL-000126,WP-033,みんなで遠足ごっこ,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花・風・空・地面など、身近な自然に触れる機会になるため。
WPL-000127,WP-033,みんなで遠足ごっこ,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ経験として、親しみや安心感につながるため。
WPL-000128,WP-033,みんなで遠足ごっこ,4,RELATED,1,3101004,環境,社会生活との関わり,公共施設を大切に利用する姿勢,公共の場や共有の場所を大切に使う姿勢につながるため。
WPL-000129,WP-034,みんなで野菜を栽培する,1,PRIMARY,3,1101001,健康,健康な心と体,主体的・充実感ある遊び,子どもが主体的に参加し、家庭で充実感を味わいやすい遊びのため。
WPL-000130,WP-034,みんなで野菜を栽培する,2,RELATED,2,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に過ごす経験として、親しみや安心感につながるため。
WPL-000131,WP-034,みんなで野菜を栽培する,3,RELATED,2,4102006,言葉,言葉による伝え合い,言葉による伝え合いの楽しみ,やりたいことや感じたことを言葉で伝え合えるため。
WPL-000132,WP-035,みんなの歴史絵本づくり,1,PRIMARY,3,5101002,表現,豊かな感性と表現,素材や表現方法への気付き,画材・構図・撮影方法など、表現方法への気付きが生まれるため。
WPL-000133,WP-035,みんなの歴史絵本づくり,2,RELATED,2,5101003,表現,豊かな感性と表現,自己で表現することの実践,感じたことを絵や映像で表す経験になるため。
WPL-000134,WP-035,みんなの歴史絵本づくり,3,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,何を表したかを言葉で説明する機会になるため。
WPL-000135,WP-035,みんなの歴史絵本づくり,4,RELATED,1,5101005,表現,豊かな感性と表現,表現の喜びと達成感,作品を見合い、達成感を味わえるため。
WPL-000136,WP-036,アルバムの振り返り,1,PRIMARY,3,5101001,表現,豊かな感性と表現,感動を体験して感性を働かせる,見たり振り返ったりする中で感動や気付きが生まれやすいため。
WPL-000137,WP-036,アルバムの振り返り,2,RELATED,2,4102004,言葉,言葉による伝え合い,経験や考えの言語表現,感じたことや思い出を言葉にして伝える体験になるため。
WPL-000138,WP-036,アルバムの振り返り,3,RELATED,2,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族の思い出やつながりを大切にする気持ちにつながるため。
WPL-000139,WP-036,アルバムの振り返り,4,RELATED,1,5101003,表現,豊かな感性と表現,自己で表現することの実践,写真の選び方や見せ方を工夫して表現できるため。
WPL-000140,WP-037,エクササイズ柔軟体操,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,体を伸ばす・動かす・心地よさを味わう体験になりやすいため。
WPL-000141,WP-037,エクササイズ柔軟体操,2,RELATED,2,1101004,健康,健康な心と体,健康と安全を育む遊び習慣,清潔・休息・安全な体の使い方など、生活習慣への関心につながるため。
WPL-000142,WP-037,エクササイズ柔軟体操,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ時間として安心感や親しみを感じやすいため。
WPL-000143,WP-038,キャンプ,1,PRIMARY,3,1101002,健康,健康な心と体,のびのびと心身を動かす遊び,屋外で体を動かし、開放感の中で遊びを楽しみやすいため。
WPL-000144,WP-038,キャンプ,2,RELATED,2,3103001,環境,自然との関わり・生命尊重,自然に触れて感動する体験,草花・風・空・地面など、身近な自然に触れる機会になるため。
WPL-000145,WP-038,キャンプ,3,RELATED,1,2104001,人間関係,社会生活との関わり,家族を大切にする気持ち,家族と一緒に楽しむ経験として、親しみや安心感につながるため。
WPL-000146,WP-039,クッキーを焼く,1,PRIMARY,3,3102002,環境,思考力の芽生え,物の性質や仕組みの発見,材料や道具の変化、仕組みに気付く経験になるため。
