playId,playTitle,playType,setting,status,parentHint,sourceFile,playDescriptionDraft
WP-001,1000円で行ける場所で遊ぶ,外出・計画,外出,active,今週『数量や図形を遊びや生活で活用する力』が見られたお子さんには、週末に「1000円で行ける場所で遊ぶ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,予算を1000円と決め、行ける場所やできることを家族で考える活動です。数や情報を使い、計画する楽しさがあります。
WP-002,いつもと雰囲気を変えてお風呂を楽しむ,健康・安全,家庭内,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「いつもと雰囲気を変えてお風呂を楽しむ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,入浴剤や光、音楽などでいつもと違う雰囲気のお風呂を楽しみます。体を清潔にする習慣を、遊びの中で前向きに感じられます。
WP-003,いつもの電車の終点訪問,外出・社会,家庭内または外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「いつもの電車の終点訪問」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,いつも乗る電車の終点まで行き、駅や街の違いを見つける活動です。社会や交通への関心、探検する楽しさが広がります。
WP-004,おしゃべり続ける競争,ことば・ゲーム,家庭内,active,今週『言葉による伝え合いの楽しみ』が見られたお子さんには、週末に「おしゃべり続ける競争」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,テーマを決めて、途切れないように話し続ける言葉遊びです。言葉を探す面白さや、相手の話を聞いてつなげる楽しさがあります。
WP-005,おにぎりを作って公園で食べる,屋外・食,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「おにぎりを作って公園で食べる」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,家でおにぎりを作り、近くの公園で食べる活動です。作る楽しさと、外で食べる開放感を合わせて味わえます。
WP-006,おにぎりバイキング,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「おにぎりバイキング」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,具材をいくつか用意し、自分で選んでおにぎりを作る活動です。選択する楽しさや食への関心、手先を使う経験が広がります。
WP-007,お化けやしきごっこ,家庭あそび,家庭内または外出,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「お化けやしきごっこ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,暗い部屋や段ボールを使って、少し怖くて楽しい空間を作る遊びです。想像力や気持ちを調整する経験につながります。
WP-008,お家でのかくれんぼ,ゲーム・ルール,家庭内,active,今週『ルールの創出と遵守』が見られたお子さんには、週末に「お家でのかくれんぼ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家の中で隠れる場所や探す範囲を決めて楽しむ遊びです。ルールを理解し、相手の気持ちを想像しながら遊べます。
WP-009,お家でハワイごっこ,家庭あそび,家庭内,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「お家でハワイごっこ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,音楽や飾り、食べ物などで南国気分を楽しむごっこ遊びです。見立てや雰囲気づくりを通して、表現の幅が広がります。
WP-010,お庭でバーベキュー,食・生活,外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「お庭でバーベキュー」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,屋外で食材を焼いたり食事をしたりする活動です。火や道具の扱いに気を付けながら、自然の中で食を楽しめます。
WP-011,お散歩,屋外・自然,外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「お散歩」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,近所をゆっくり歩き、季節の変化や街の様子を見つける活動です。身近な環境への気付きと会話が広がります。
WP-012,お菓子づくり,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「お菓子づくり」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,混ぜる、丸める、焼くなどの工程を楽しむ活動です。材料の変化に気付きながら、完成を待つ期待感や達成感を味わえます。
WP-013,かるた選手権,ゲーム・ルール,家庭内または外出,active,今週『文字や記号を用いた表現・伝達』が見られたお子さんには、週末に「かるた選手権」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,読み札を聞き、絵札や文字札を探して取る遊びです。言葉への関心、集中力、ルールを守って競う経験が育ちます。
WP-014,たまった動画をみんなで編集して上映する,表現・ICT,家庭内,active,今週『素材や表現方法への気付き』が見られたお子さんには、週末に「たまった動画をみんなで編集して上映する」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,家族の動画を選び、順番や長さを考えて短い作品にする活動です。思い出を振り返り、表現して共有する楽しさがあります。
WP-015,どこへ行くかわからないミステリーツアー,外出・社会,家庭内または外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「どこへ行くかわからないミステリーツアー」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,行き先を少し秘密にして出かける活動です。期待感や驚きを楽しみながら、新しい環境に関心を持てます。
WP-016,のり鉄途中下車の旅,外出・社会,家庭内または外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「のり鉄途中下車の旅」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,電車に乗り、途中の駅で降りて街を歩く活動です。乗り物や地域への関心、見通しを持って移動する経験になります。
WP-017,みんなでサイクリング,屋外・運動,外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「みんなでサイクリング」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,家族で自転車に乗り、近所や公園まで走る活動です。体を動かす心地よさと、交通ルールや安全への意識が育ちます。
WP-018,みんなでサンドイッチづくり,食・生活,家庭内または外出,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「みんなでサンドイッチづくり」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,具材を選んでパンにはさみ、自分だけのサンドイッチを作る活動です。食への関心や、手順を考えて作る力が育ちます。
WP-019,みんなでショッピング,外出・社会,外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「みんなでショッピング」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,必要な物や欲しい物を家族で相談して買い物する活動です。社会の場でのやりとりや、選ぶ・比べる経験ができます。
WP-020,みんなでジグソーパズル,ゲーム・ルール,家庭内または外出,active,今週『思考・予測・工夫する力』が見られたお子さんには、週末に「みんなでジグソーパズル」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,絵や形を手がかりにピースを探し、少しずつ完成させる遊びです。観察力、集中力、できた時の達成感を味わえます。
WP-021,みんなでファッションショー,表現・鑑賞,家庭内または外出,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「みんなでファッションショー」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,好きな服や小物を組み合わせ、家族に見せる遊びです。色や形への関心、自分らしく表現する楽しさを育てます。
WP-022,みんなで一緒に家事をやる,生活・お手伝い,家庭内,active,今週『役立つ喜びと地域への親しみ』が見られたお子さんには、週末に「みんなで一緒に家事をやる」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,掃除、洗濯、片付けなどを家族で分担して行う活動です。役割を持って動くことで、家族の一員としての実感が育ちます。
WP-023,みんなで写真の整理,表現・鑑賞,家庭内または外出,active,今週『感動を体験して感性を働かせる』が見られたお子さんには、週末に「みんなで写真の整理」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族写真を選び、順番やテーマごとに整理する活動です。思い出を振り返り、出来事を言葉で伝える経験になります。
WP-024,みんなで合唱の練習,表現・鑑賞,家庭内または外出,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「みんなで合唱の練習」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族で歌を選び、声を合わせて歌う遊びです。音やリズムを楽しみながら、みんなで一つの表現を作る喜びを味わえます。
WP-025,みんなで図書館に行く,ことば・社会,外出,active,今週『絵本や物語への親しみ』が見られたお子さんには、週末に「みんなで図書館に行く」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,図書館へ出かけ、好きな本を選んで読む活動です。公共の場での過ごし方や、本・文字への親しみが広がります。
WP-026,みんなで大工ごっこ,制作・構成,家庭内または外出,active,今週『思考・予測・工夫する力』が見られたお子さんには、週末に「みんなで大工ごっこ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,段ボールや木材、道具を使って作るまねをする遊びです。安全に配慮しながら、構成する力や作り出す喜びを味わえます。
WP-027,みんなで家族のマンガを描く,表現・ことば,家庭内,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「みんなで家族のマンガを描く」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,家族を登場人物にして、できごとや想像した話をマンガにする活動です。絵と言葉で表し、家族で見せ合う楽しさがあります。
WP-028,みんなで料理を作る,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「みんなで料理を作る」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,材料を洗う、混ぜる、盛り付けるなど、できる役割を持って料理する活動です。生活への関心と協力する力が育ちます。
WP-029,みんなで映画鑑賞,表現・鑑賞,家庭内または外出,active,今週『感動を体験して感性を働かせる』が見られたお子さんには、週末に「みんなで映画鑑賞」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,映画を一緒に見て、好きな場面や登場人物について話す活動です。物語を受け止める力や感想を言葉にする力が育ちます。
WP-030,みんなで柔軟体操,健康・安全,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「みんなで柔軟体操」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族でまねをしながら体を伸ばし、柔らかさや気持ちよさを感じる活動です。体への気付きや健康への関心につながります。
WP-031,みんなで絵を描いて鑑賞会,表現・鑑賞,家庭内または外出,active,今週『素材や表現方法への気付き』が見られたお子さんには、週末に「みんなで絵を描いて鑑賞会」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族で絵を描き、できあがった作品を見せ合う活動です。感じたことを表現し、友達や家族の表現を認める経験になります。
WP-032,みんなで美術館に行く,鑑賞・表現,外出,active,今週『感動を体験して感性を働かせる』が見られたお子さんには、週末に「みんなで美術館に行く」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,美術館で絵や作品を見て、感じたことを家族で話す活動です。色や形、表し方に触れ、感性を働かせる経験になります。
WP-033,みんなで遠足ごっこ,屋外・自然,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「みんなで遠足ごっこ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,お弁当や水筒を用意し、家の中や近所で遠足気分を味わう遊びです。準備、移動、発見の楽しさが広がります。
WP-034,みんなで野菜を栽培する,家庭あそび,家庭内または外出,active,今週『主体的・充実感ある遊び』が見られたお子さんには、週末に「みんなで野菜を栽培する」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,野菜の種や苗を育て、水やりや観察を続ける活動です。生長の変化に気付き、命や食べ物への関心が深まります。
WP-035,みんなの歴史絵本づくり,表現・鑑賞,家庭内または外出,active,今週『素材や表現方法への気付き』が見られたお子さんには、週末に「みんなの歴史絵本づくり」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族の昔の写真や思い出をもとに、絵本のようにまとめる活動です。過去を振り返り、言葉と絵で表す力が育ちます。
WP-036,アルバムの振り返り,表現・鑑賞,家庭内,active,今週『感動を体験して感性を働かせる』が見られたお子さんには、週末に「アルバムの振り返り」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,アルバムを見ながら、楽しかったことや成長したことを話す活動です。記憶をたどり、経験を言葉にする力が育ちます。
WP-037,エクササイズ柔軟体操,健康・安全,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「エクササイズ柔軟体操」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,音楽や掛け声に合わせて、楽しく体を伸ばす活動です。体の動きや気持ちよさに気付き、健康的な生活への関心を育てます。
WP-038,キャンプ,屋外・自然,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「キャンプ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,テント設営や火を囲む食事など、自然の中で過ごす活動です。生活の工夫や自然への気付き、協力する力が育ちます。
WP-039,クッキーを焼く,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「クッキーを焼く」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,材料を混ぜ、型を抜き、焼き上がりを待つお菓子づくりです。形や香り、焼き色の変化に気付き、完成の喜びを味わえます。
WP-040,コンサート音楽鑑賞,表現・鑑賞,家庭内または外出,active,今週『素材や表現方法への気付き』が見られたお子さんには、週末に「コンサート音楽鑑賞」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,音楽を聴き、音の大きさやリズム、演奏する人の様子を味わう活動です。感じたことを表現する力が育ちます。
WP-041,コンビニスイーツバイキング,食・生活,家庭内または外出,active,今週『数量や図形を遊びや生活で活用する力』が見られたお子さんには、週末に「コンビニスイーツバイキング」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,コンビニのスイーツを家族で選び、味や見た目を比べる遊びです。選ぶ理由や感想を伝える会話が自然に生まれます。
WP-042,ザリガニ釣り,屋外・自然,家庭内または外出,active,今週『自然に触れて感動する体験』が見られたお子さんには、週末に「ザリガニ釣り」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,池や用水路でザリガニを探し、釣ることを楽しむ活動です。安全に配慮しながら、生き物の動きや環境に気付けます。
WP-043,ジージ（祖父）、ばーば（祖母）へ昔話を聞きに行く,ことば・家族,外出,active,今週『相手の話を注意深く聴く力』が見られたお子さんには、週末に「ジージ（祖父）、ばーば（祖母）へ昔話を聞きに行く」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,祖父母を訪ね、子どもの頃の話や家族の昔話を聞く活動です。話を聴き、家族のつながりを感じる時間になります。
WP-044,タイムカプセルを庭に埋める,制作・構成,外出,active,今週『思考・予測・工夫する力』が見られたお子さんには、週末に「タイムカプセルを庭に埋める」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,手紙や絵、小さな思い出の品を入れて未来に残す活動です。時間の流れへの気付きや、期待を持つ気持ちが育ちます。
WP-045,ダンス大会,表現・鑑賞,家庭内または外出,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「ダンス大会」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,好きな曲に合わせて体を動かし、家族で見せ合う遊びです。リズムを感じる力や、自分らしく表現する喜びにつながります。
WP-046,テレビ、ゲーム、スマホを持たない日,健康・生活,家庭内,active,今週『健康と安全を育む遊び習慣』が見られたお子さんには、週末に「テレビ、ゲーム、スマホを持たない日」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,画面を使わない時間を家族で決め、会話や遊び、読書などを楽しむ一日です。生活リズムや遊び方を見直すきっかけになります。
WP-047,パパ、ママの仕事場に行ってみる,社会・見学,外出,active,今週『社会とのつながりの意識』が見られたお子さんには、週末に「パパ、ママの仕事場に行ってみる」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r2.txt,保護者の仕事場や働く様子を見に行く活動です。仕事や社会のつながりに気付き、家族への理解も深まります。
WP-048,フェリーに乗船,屋外・自然,外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「フェリーに乗船」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,フェリーに乗り、水上から景色や風を感じる活動です。乗り物への関心や、いつもと違う視点で環境を見る力が育ちます。
WP-049,フリーマーケットごっこ,家庭あそび,家庭内または外出,active,今週『数量や図形を遊びや生活で活用する力』が見られたお子さんには、週末に「フリーマーケットごっこ」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家にある品物を並べ、お店屋さんのように売り買いする遊びです。やりとり、数、役割を楽しみながら学べます。
WP-050,ブドウ狩り,屋外・自然,家庭内または外出,active,今週『自然に触れて感動する体験』が見られたお子さんには、週末に「ブドウ狩り」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,ぶどうを見つけて収穫し、味わう活動です。果物が実る様子や旬に気付き、自然と食への関心が深まります。
WP-051,ペアルックでそぞろ歩き,家庭あそび,家庭内または外出,active,今週『のびのびと心身を動かす遊び』が見られたお子さんには、週末に「ペアルックでそぞろ歩き」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,家族で似た色や柄の服を選び、散歩を楽しむ活動です。装いへの関心や、家族で一体感を味わう楽しさが育ちます。
WP-052,ホタル観賞,屋外・自然,家庭内または外出,active,今週『自然に触れて感動する体験』が見られたお子さんには、週末に「ホタル観賞」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,夜の水辺などでホタルの光を静かに観察する活動です。生き物や季節への関心、自然への感動が育ちます。
WP-053,ホットケーキ作り,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「ホットケーキ作り」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,粉を混ぜ、焼き色やふくらみを見ながらホットケーキを作る活動です。材料の変化や完成を待つ楽しさを味わえます。
WP-054,ホットプレートを使った家族パーティー,食・生活,家庭内,active,今週『物の性質や仕組みの発見』が見られたお子さんには、週末に「ホットプレートを使った家族パーティー」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,ホットプレートを囲んで、焼く・混ぜる・分けることを楽しむ家族遊びです。食材の変化や順番を待つ経験につながります。
WP-055,ボードゲーム大会,ゲーム・ルール,家庭内または外出,active,今週『ルールの創出と遵守』が見られたお子さんには、週末に「ボードゲーム大会」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,順番やルールを守りながら、勝ち負けを楽しむ遊びです。考える力、待つ力、相手と気持ちよく遊ぶ力が育ちます。
WP-056,ミュージカルや劇をみにいく,表現・鑑賞,家庭内または外出,active,今週『自己で表現することの実践』が見られたお子さんには、週末に「ミュージカルや劇をみにいく」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,舞台や歌、踊り、演技を鑑賞する活動です。物語や表現の面白さに触れ、感じたことを言葉にする経験になります。
WP-057,リサイクルショップ巡り,外出・社会,外出,active,今週『さまざまな環境への主体的関わり』が見られたお子さんには、週末に「リサイクルショップ巡り」を試すと、同じ育ちを家庭でも自然に広げやすいです。,Playlist_r1.txt,使わなくなった物や掘り出し物を探す外出です。物の価値や再利用に気付き、選んだ理由を話す経験になります。
